37367	86.5	12.5	3.7	9.4	6	84	5.9	3.2	5.9	9.5	81.4	6.5	2	6.7	7.7	86.5	12	3.7	10.9	6	86.5	10.4	3.7	6	6	80.3	7.9	2	6.7	9.8	86.5	12.5	3.7	11.8	8.4
37368	88.7	13.2	5.3	11.8	7.5	86	6.9	4.3	7.2	10.1	87	6.5	4.2	6.3	8.7	88.7	12.7	5.3	12.7	7	88.7	12.8	5.3	8.3	7.2	86.8	9.5	4	8.1	8.3	86	13.4	3.6	12.1	8.7
37369	88.6	13.2	8.4	12.5	16.4	87.1	8.2	10.9	8.6	27	86	7.7	4.9	7.1	15.2	86.8	13.3	4.4	13.6	9	88.6	13.6	6	9.3	8	88.6	11.5	5.6	9	8.8	86.4	14.5	4.3	14.4	10.6
37370	17.9	3.9	0.4	2.2	18.8	31.4	3.2	0.1	3.1	20.8	61.7	6.9	1.1	6.4	14.2	72.1	12.4	1.1	12.6	10.6	91.2	15.5	9.6	10.7	22.3	91.2	13.3	8.7	10.7	20.4	91.2	16.4	8.3	16.4	12.9
37371	24.1	4.3	0	3.9	17.3	61.9	4.8	2.9	4.6	24.1	65.3	7.2	1.3	6.7	21.8	79.8	14	2.7	14.2	16.1	84.7	19.4	4.2	15.5	12.8	77.1	11.9	2.3	10.4	18.7	71.8	14.8	1.7	15.5	12.4
37372	44.2	4	0.7	3.8	12	70.3	4.8	1.7	4.7	12.2	84.4	5.8	3.8	5.8	12	84.7	14.2	4.6	15.2	10.5	86.3	19.9	4.7	15.1	11.1	77.2	12	2.5	9.9	10.7	78.8	16	2.1	15.7	14.1
37373	60.9	5.9	0.5	5.7	3	76.3	5.8	2.2	5.6	12.8	85.7	6.8	7.1	6.8	21.8	87.5	18.3	3.8	18.8	3	83	21.5	4.5	16.9	3	74.9	12.8	2.2	10.9	3.9	84.8	17.1	2.7	17.1	8.1
37374	81.7	8.6	1.4	7.6	6	82.2	6.9	2.9	6.8	9.8	85.2	7.9	3.8	7.8	11.1	87.6	21.3	4	19.4	6	87.6	22	3.3	24	9.8	73.2	13.7	1.6	12	21.9	87.6	18.7	1.9	18.9	12.9
37375	49.2	5.1	0.5	5.6	12.7	48.4	3.8	0.4	4.6	16.4	58	5.8	1	6.8	20	67.3	18.8	1.2	18.5	8.2	87.6	11.8	4.7	10.6	14.3	82.4	9.7	2.7	9	14.8	58.6	13.2	0.7	14.6	6.9
37376	18.5	1.9	0	1.3	2.1	56.8	4.3	0.6	4.8	11	54.7	4.8	0.3	6.7	2.2	27.4	12.1	0	13.3	8.3	68.8	6.6	2.1	6.2	4.5	36.7	4.6	0.4	4.4	8.5	44.6	10.8	0.6	13.4	6.1
