39934,84.3,7.3,4.1,5.2,3.1,58.4,24.2,2.1,19.2,3.5,87.8,23.3,1.6,6.4,1.4,86.7,12.4,4.6,5.0,7.5,87.9,6.2,6.7,7.4,5.6,87.2,14.1,4.5,7.2,1.9,85.0,6.0,4.3,6.0,5.0
39935,60.9,19.8,0.8,20.6,1.3,52.8,5.3,11.3,21.8,0.0,87.3,21.8,4.0,9.8,4.5,73.1,16.7,4.3,9.4,24.2,72.7,9.1,8.1,27.6,1.0,90.7,29.1,1.9,11.2,0.0,59.1,17.5,2.0,17.5,6.4
39936,51.7,10.4,0.0,22.2,0.0,58.9,0.0,12.5,20.7,0.0,86.6,17.9,8.1,9.2,0.5,57.9,10.3,5.7,22.7,19.0,76.6,5.1,5.8,27.9,4.5,87.4,42.8,0.0,10.8,1.6,59.1,17.5,2.0,17.5,6.4
39937,73.6,11.7,4.5,21.7,3.1,87.4,8.6,0.0,23.7,12.1,85.8,22.1,13.6,6.2,2.2,84.9,39.7,0.1,21.9,19.8,76.0,24.3,3.5,30.4,8.0,80.8,15.4,5.8,9.7,8.2,66.9,7.7,0.0,18.3,0.2
39938,73.6,11.7,4.5,21.7,3.1,87.4,8.6,0.0,23.7,12.1,85.8,22.1,13.6,6.2,2.2,84.9,39.7,0.1,21.9,19.8,76.0,24.3,3.5,30.4,8.0,80.8,15.4,5.8,9.7,8.2,66.9,7.7,0.0,18.3,0.2,73.6,11.7,4.5,21.7,3.1,87.4,8.6,0.0,23.7,12.1,85.8,22.1,13.6,6.2,2.2,84.9,39.7,0.1,21.9,19.8,76.0,24.3,3.5,30.4,8.0,80.8,15.4,5.8,9.7,8.2,66.9,7.7,0.0,18.3,0.2
39939,82.4,6.7,7.8,24.8,0.0,68.9,14.8,2.5,23.2,9.4,99.9,35.7,15.4,6.9,9.8,73.1,17.2,0.0,21.7,18.3,74.1,32.1,2.7,31.2,12.0,74.2,41.1,0.0,7.4,16.3,66.9,7.7,0.0,18.3,0.2
39940,84.4,2.4,6.2,24.1,0.0,78.6,29.9,0.0,40.2,16.5,98.1,52.6,12.1,6.6,14.9,74.7,24.9,0.0,21.1,19.5,69.8,41.6,5.9,30.7,9.0,75.6,41.0,0.0,10.7,19.4,66.9,7.7,0.0,18.3,0.2
39941,87.5,0.0,4.2,26.6,0.0,70.4,17.8,1.1,52.4,12.8,99.9,44.8,6.4,3.8,0.0,85.7,0.0,0.0,19.0,30.9,72.3,33.5,3.9,34.6,0.0,69.3,26.0,4.4,24.5,15.2,66.9,7.7,0.0,18.3,0.2
39942,86.9,23.0,2.5,27.5,0.0,81.7,35.6,0.0,54.7,9.8,72.1,6.7,2.5,22.4,-0.0,71.0,11.1,0.0,15.8,39.5,63.6,0.0,2.8,26.8,7.1,64.8,32.3,7.2,25.6,20.1,67.9,14.3,4.3,23.9,2.7
39943,70.6,35.0,1.4,19.6,0.0,95.8,29.4,1.2,58.6,1.7,71.6,12.3,2.6,19.6,0.0,60.8,3.4,0.0,16.2,35.9,66.7,0.0,2.2,24.5,6.8,62.6,41.3,13.1,26.5,21.2,67.9,14.3,4.3,23.9,2.7
