38108,81.4,29.2,0.0,19.2,0.0,79.6,0.7,4.0,2.9,0.9,93.1,0.0,4.0,5.7,0.7,86.8,0.0,5.4,6.0,11.7,86.2,5.1,3.3,4.9,9.6,87.8,4.8,4.9,8.3,9.4,85.0,6.0,4.3,6.0,5.0
38109,78.3,15.9,13.1,18.8,16.7,71.0,0.0,6.0,2.0,8.1,91.5,35.5,0.9,6.6,0.0,92.0,0.0,0.4,9.8,3.0,72.5,95.5,8.9,31.0,0.0,71.5,28.8,1.7,25.5,7.3,70.6,8.0,6.4,15.1,7.2
38110,73.8,19.0,13.8,17.4,14.8,82.2,8.4,7.1,1.0,9.6,88.5,15.9,5.4,27.8,0.0,91.9,12.5,0.2,9.4,10.3,78.2,78.7,7.8,29.2,0.0,77.7,45.9,0.7,25.3,10.7,70.6,8.0,6.4,15.1,7.2
38111,66.5,7.6,9.1,20.8,13.2,86.5,39.7,14.9,0.7,13.4,80.6,29.5,0.7,25.0,1.5,96.5,0.0,1.1,14.5,18.4,72.6,85.0,3.8,30.0,4.6,69.9,80.7,1.7,25.6,4.6,58.5,13.1,2.1,17.5,3.4
38112,74.8,39.8,10.1,21.1,6.7,70.7,32.3,14.3,3.9,13.5,76.1,26.6,11.4,33.3,2.1,98.2,6.2,7.7,15.4,23.8,58.7,83.8,2.5,24.2,6.3,79.3,85.2,3.9,31.7,0.0,54.9,7.0,8.6,20.6,0.9
38113,74.8,39.8,10.1,21.1,6.7,70.7,32.3,14.3,3.9,13.5,76.1,26.6,11.4,33.3,2.1,98.2,6.2,7.7,15.4,23.8,58.7,83.8,2.5,24.2,6.3,79.3,85.2,3.9,31.7,0.0,54.9,7.0,8.6,20.6,0.9,74.8,39.8,10.1,21.1,6.7,70.7,32.3,14.3,3.9,13.5,76.1,26.6,11.4,33.3,2.1,98.2,6.2,7.7,15.4,23.8,58.7,83.8,2.5,24.2,6.3,79.3,85.2,3.9,31.7,0.0,54.9,7.0,8.6,20.6,0.9
38114,78.4,52.1,10.7,18.8,8.0,60.3,33.2,18.0,6.9,20.6,77.8,27.0,10.7,34.3,0.0,94.4,0.0,11.3,12.8,28.1,71.8,27.1,2.0,22.0,6.5,75.5,71.7,10.1,27.6,0.0,54.9,7.0,8.6,20.6,0.9
38115,80.0,85.1,12.1,22.0,2.1,52.1,33.3,18.6,6.9,19.8,80.1,30.3,0.4,37.5,8.9,85.1,6.9,11.3,7.9,19.3,74.4,20.1,10.7,26.0,2.3,75.2,12.6,1.9,23.7,3.5,64.9,1.3,1.9,18.3,0.0
38116,79.5,88.0,13.4,24.6,1.5,41.8,29.5,25.7,6.2,24.4,84.3,12.2,3.4,24.1,5.0,81.6,0.0,17.4,5.5,22.0,74.0,0.0,3.5,30.2,7.9,72.3,27.1,3.2,24.7,1.6,64.9,1.3,1.9,18.3,0.0
38117,63.3,17.8,9.0,23.7,5.7,41.4,49.1,21.1,8.1,22.8,70.6,27.6,4.5,26.0,13.2,84.1,14.6,3.6,20.7,17.4,69.4,13.5,0.6,29.7,7.5,79.9,12.2,1.6,23.7,0.0,64.9,1.3,1.9,18.3,0.0
