39969,0.0,0,12,98,2
39970,0.0,1,132,94,2
39970,0.1,1,12,96,2
39973,0.0,2,12,97,2
39975,0.0,1,9,91,2
39976,0.0,2,2,94,2
39977,0.0,2,132,96,2
39978,0.0,3,8,901,2
39978,0.1,3,9,97,2
39980,0.0,3,12,97,2
39980,0.1,3,132,97,2
39980,0.2,3,9,901,2
39981,0.0,5,12,96,2
39982,0.0,4,132,98,2
39983,0.0,5,9,96,2
39984,0.0,3,12,96,2
39984,0.1,3,9,96,2
39984,0.2,3,8,97,2
39985,0.0,5,2,91,2
39985,0.1,5,12,96,2
39986,0.0,6,9,91,2
39987,0.0,6,132,94,2
39987,0.1,6,132,96,2
39988,0.0,5,3,91,2
39989,0.0,4,3,902,2
39990,0.0,4,12,96,2
39991,0.0,3,3,96,2
39991,0.1,3,132,97,2
39991,0.2,3,2,93,2
39992,0.0,5,3,91,2
39992,0.1,5,12,901,2
39994,0.0,5,3,902,2
39994,0.1,5,132,902,2
